Interaction_ID,Herb_Name_encoded,Compound_Name_encoded,Target_Name_encoded,Action_Type_encoded,Species_encoded,pKi,pIC50,Bioactivity_Strength,Weighted_Bioactivity,Data_Quality_Score,Confidence_Score,Is_Synthetic,Property_neuroprotective,Property_metabolism_booster,Property_nootropic,Property_antimicrobial,Property_galactagogue,Property_anti-inflammatory,Property_reproductive_health,Property_hepatoprotective,Property_energy_booster,Property_digestive,Property_adaptogenic,Property_immunomodulatory,Property_analgesic,Property_antioxidant,Property_cardioprotective,Property_hypoglycemic,Property_bioenhancer,Property_cognitive_enhancer,Property_anti-arthritic,Property_hypolipidemic,Ki_nM,IC50_nM
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.4089353929735005,5.4089353929735005,5.19257797725456,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,3900.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,6.2839966563652006,6.2839966563652006,6.032636790110592,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,520.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.481486060122113,5.481486060122113,5.2622266177172285,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,3300.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.494850021680094,4.494850021680094,4.315056020812889,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,32000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.0655015487564325,4.0655015487564325,3.902881486806175,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,86000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.045757490560675,4.045757490560675,3.883927190938248,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,90000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.1487416512809245,4.1487416512809245,3.9827919852296874,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,71000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,4.619788758288394,4.619788758288394,4.434997207956858,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,24000.0
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
